CTCF	EP300	GABPA	MAFK	NFE2L2	REST
NPHP4	0	0	0	1	1	0
RPL22	2	0	1	1	0	0
RNF207	2	0	1	1	0	0
ICMT	3	0	0	0	0	1
HES3	3	0	0	0	0	2
GPR153	0	0	0	0	0	0
ACOT7	1	0	1	0	1	0
HES2	2	0	0	0	0	1
ESPN	1	0	0	0	0	1
TNFRSF25	3	0	0	0	0	0
PLEKHG5	1	0	0	0	0	0
NOL9	2	0	0	0	0	0
ZBTB48	2	0	1	1	0	1
KLHL21	1	1	0	0	0	0
PHF13	1	0	0	0	0	0
THAP3	1	0	0	0	0	0
DNAJC11	1	0	0	0	0	0
CAMTA1	0	2	1	1	0	0
VAMP3	0	0	0	0	0	0
UTS2	1	0	0	0	0	0
TNFRSF9	0	0	0	0	0	0
PARK7	1	2	2	1	0	0
ERRFI1	1	2	0	0	0	0
SLC45A1	2	0	0	0	0	0
RERE	1	0	0	0	0	0
ENO1	1	2	1	3	2	0
CA6	0	0	0	0	0	0
SLC2A5	0	0	0	0	0	0
GPR157	0	0	0	2	0	0
H6PD	1	0	0	0	0	1
SPSB1	1	2	0	3	1	0
SLC25A33	0	0	0	1	0	0
TMEM201	1	0	0	0	0	1
PIK3CD	0	0	0	0	0	0
CLSTN1	1	0	0	0	0	0
CTNNBIP1	1	0	0	0	0	0
NMNAT1	2	0	1	1	0	0
LZIC	2	0	1	1	0	0
RBP7	0	0	0	0	0	0
UBE4B	3	0	0	0	0	0
KIF1B	1	0	0	0	0	0
PGD	0	0	0	2	0	0
APITD1	2	0	0	0	0	0
APITD1-CORT	2	0	0	0	0	0
DFFA	0	0	0	0	0	0
PEX14	0	0	0	0	0	0
CASZ1	1	0	0	0	0	0
TARDBP	0	0	0	1	0	0
SRM	1	0	1	0	0	1
EXOSC10	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	1
MTOR	1	0	1	0	0	0
UBIAD1	1	0	1	1	0	0
FBXO44	2	0	0	0	0	0
FBXO2	2	0	0	0	0	0
FBXO6	1	0	0	0	0	0
MAD2L2	0	0	0	0	0	0
DRAXIN	0	0	0	0	0	0
AGTRAP	0	0	0	0	0	0
C1orf167	0	0	0	0	0	0
CLCN6	0	0	3	0	0	0
MTHFR	0	0	3	0	0	0
KIAA2013	0	0	0	0	0	0
PLOD1	0	0	0	0	0	0
MFN2	0	0	0	0	0	0
MIIP	1	0	0	1	0	0
TNFRSF8	0	0	0	0	0	0
TNFRSF1B	0	2	0	1	0	0
VPS13D	1	0	0	0	0	0
DHRS3	1	0	0	0	0	0
LRRC38	1	0	0	0	0	0
PDPN	0	0	0	0	0	0
PRDM2	1	0	0	0	0	0
KAZN	0	0	0	0	0	0
TMEM51	2	0	0	0	0	0
FHAD1	0	0	0	0	0	0
EFHD2	0	0	1	0	0	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	1	2	1	1	0	0
DNAJC16	1	2	1	1	0	0
AGMAT	1	0	0	0	0	0
DDI2	1	0	0	0	0	0
PLEKHM2	0	0	0	0	0	0
FBLIM1	1	0	0	1	0	0
SPEN	0	0	0	2	0	1
ZBTB17	0	2	1	0	0	1
HSPB7	3	0	0	0	0	0
CLCNKB	0	0	0	0	0	0
FAM131C	2	2	1	0	0	0
EPHA2	1	0	1	0	0	0
ARHGEF19	1	0	0	0	0	0
RSG1	2	0	0	0	0	0
FBXO42	1	0	0	1	1	0
SZRD1	1	0	1	2	0	0
NECAP2	1	0	2	0	0	0
CROCC	2	0	0	0	0	0
MFAP2	1	0	0	0	0	0
ATP13A2	0	0	0	0	0	0
SDHB	2	0	1	0	0	0
PADI2	1	1	0	0	0	0
PADI1	1	2	0	1	0	0
PADI3	0	0	0	0	0	0
PADI4	0	0	0	0	0	1
RCC2	0	1	0	0	0	0
ARHGEF10L	0	0	0	0	0	0
ACTL8	2	0	1	0	0	0
PAX7	0	0	0	0	0	0
ALDH4A1	2	0	0	0	0	0
IFFO2	0	0	0	0	0	0
UBR4	0	0	1	1	0	0
EMC1	1	1	0	0	0	0
MRTO4	1	1	0	0	0	0
AKR7A2	0	0	0	0	0	0
PQLC2	0	0	0	0	0	0
CAPZB	1	0	1	0	0	0
MINOS1	0	0	1	0	0	0
MINOS1-NBL1	0	0	1	0	0	0
NBL1	4	0	1	0	0	0
TMCO4	1	0	0	1	0	1
OTUD3	2	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0
UBXN10	2	0	0	0	0	0
CAMK2N1	2	0	0	0	0	0
MUL1	0	0	1	0	0	1
FAM43B	0	0	0	0	0	0
CDA	1	0	0	1	0	0
PINK1	2	0	0	1	0	0
DDOST	1	0	1	0	0	0
SH2D5	1	0	0	1	0	0
HP1BP3	0	0	0	0	0	0
EIF4G3	0	0	0	0	0	0
ECE1	0	1	0	0	0	1
NBPF3	0	0	0	0	0	0
ALPL	1	0	0	0	0	0
RAP1GAP	1	0	0	0	0	1
USP48	1	2	1	2	0	0
HSPG2	1	1	0	1	0	0
CDC42	0	0	1	0	0	0
WNT4	0	0	0	0	0	0
ZBTB40	0	0	0	0	0	0
EPHA8	0	0	0	0	0	0
C1QA	1	0	0	0	0	0
C1QC	1	0	0	0	0	0
C1QB	2	0	0	0	0	0
EPHB2	2	0	0	0	0	0
KDM1A	1	1	0	0	0	0
LUZP1	0	0	0	1	0	0
HTR1D	1	2	0	1	1	0
HNRNPR	1	0	1	0	0	0
ZNF436	0	0	1	0	1	0
TCEA3	0	0	0	0	0	1
ASAP3	0	1	0	0	0	0
E2F2	2	0	0	2	1	0
ID3	3	5	0	2	2	1
MDS2	2	1	0	0	0	0
RPL11	1	1	1	0	0	1
TCEB3	3	0	2	0	0	0
PITHD1	1	0	1	1	1	0
LYPLA2	2	2	2	0	0	0
GALE	3	2	2	0	0	0
HMGCL	0	0	0	0	0	0
FUCA1	1	0	0	0	0	1
CNR2	1	0	0	0	0	0
PNRC2	1	0	1	0	0	0
SRSF10	0	1	0	0	1	0
MYOM3	1	0	0	0	0	0
IFNLR1	0	0	0	0	0	0
GRHL3	2	0	0	1	0	0
NIPAL3	2	0	0	1	0	0
STPG1	2	0	0	1	0	0
RCAN3	0	0	0	0	0	0
NCMAP	0	0	0	0	0	1
SRRM1	1	0	0	0	0	1
CLIC4	1	1	0	0	0	0
RUNX3	0	0	0	0	0	0
SYF2	1	1	3	0	0	0
RHD	0	0	0	0	0	0
TMEM50A	0	0	1	0	0	0
RHCE	0	0	0	0	0	0
TMEM57	0	0	0	0	0	0
LDLRAP1	0	0	0	0	0	0
SEPN1	2	0	0	0	0	0
MTFR1L	2	0	1	0	0	1
AUNIP	0	0	0	0	0	0
STMN1	1	0	0	0	0	0
PAFAH2	1	1	0	1	0	0
TRIM63	0	0	0	0	0	0
PDIK1L	1	0	0	0	0	0
FAM110D	0	0	0	0	0	0
ZNF593	1	0	1	1	0	0
CNKSR1	1	0	1	1	0	0
CEP85	2	0	0	1	1	0
SH3BGRL3	5	0	0	0	0	0
CD52	1	0	0	0	0	0
UBXN11	1	0	0	0	0	0
ZNF683	1	0	0	0	0	0
LIN28A	1	0	0	0	0	3
DHDDS	0	1	1	1	1	0
HMGN2	1	0	0	0	0	1
RPS6KA1	3	0	0	1	0	0
ARID1A	0	3	0	0	0	0
PIGV	1	0	1	0	0	0
ZDHHC18	2	0	0	0	0	0
SFN	3	2	1	2	0	1
GPN2	1	0	1	0	0	0
GPATCH3	0	0	0	0	0	0
NUDC	0	0	1	0	0	0
TRNP1	1	0	0	0	0	0
FAM46B	1	1	0	0	0	0
SLC9A1	1	2	0	0	1	1
WDTC1	0	0	0	0	0	0
TMEM222	0	0	1	0	0	0
SYTL1	1	0	0	0	0	0
MAP3K6	4	0	0	0	0	0
FCN3	3	0	0	0	0	0
CD164L2	2	0	0	0	0	0
GPR3	4	0	0	0	0	0
WASF2	0	0	0	1	0	1
AHDC1	2	0	1	0	0	0
FGR	1	0	0	0	0	0
IFI6	4	1	0	0	0	0
FAM76A	2	0	0	0	1	0
STX12	0	0	1	0	0	1
PPP1R8	0	1	0	0	0	0
THEMIS2	0	0	0	0	0	0
RPA2	0	0	1	0	0	0
SMPDL3B	2	0	0	0	0	0
EYA3	2	0	1	0	0	0
PTAFR	0	0	0	0	0	0
DNAJC8	0	1	0	0	0	0
ATPIF1	0	1	0	0	0	0
SESN2	0	2	0	1	0	0
MED18	1	0	1	0	0	0
PHACTR4	2	0	2	0	0	1
RCC1	0	1	0	0	0	1
TRNAU1AP	0	0	1	0	0	0
TAF12	2	2	2	0	0	1
GMEB1	0	0	0	0	0	0
YTHDF2	1	0	1	0	0	0
EPB41	4	1	0	1	1	0
TMEM200B	2	0	0	0	0	0
SRSF4	1	0	1	0	0	0
MECR	3	1	0	0	0	0
PTPRU	4	1	0	0	0	0
LAPTM5	0	0	0	0	0	0
SDC3	1	0	0	0	0	0
PUM1	0	0	0	0	0	0
SNRNP40	0	0	0	0	0	2
ZCCHC17	0	0	0	0	0	2
FABP3	0	0	0	0	0	0
SERINC2	0	0	1	0	0	0
TINAGL1	0	1	0	0	0	0
PEF1	0	0	1	1	0	0
COL16A1	0	1	0	1	0	0
PTP4A2	1	4	1	3	1	0
KHDRBS1	1	0	1	0	0	1
TMEM39B	1	0	1	1	0	0
KPNA6	2	0	0	2	0	0
TXLNA	0	0	1	0	0	0
CCDC28B	0	0	0	0	0	0
IQCC	1	0	0	0	0	0
EIF3I	2	0	1	0	0	0
TMEM234	2	0	1	0	0	0
FAM167B	2	0	0	0	0	0
LCK	1	0	0	0	0	0
HDAC1	0	0	0	0	0	0
MARCKSL1	1	0	0	0	0	0
BSDC1	1	0	0	0	0	0
ZBTB8A	1	0	0	1	0	0
ZBTB8OS	0	0	1	0	0	0
RBBP4	0	0	1	0	0	0
SYNC	4	0	0	0	0	0
KIAA1522	2	0	0	0	0	0
S100PBP	0	1	0	0	0	0
FNDC5	2	0	0	0	0	0
HPCA	3	0	0	0	0	1
TMEM54	0	0	0	0	0	0
RNF19B	0	0	0	1	0	2
AK2	0	0	0	1	0	0
ZNF362	0	0	1	0	0	0
PHC2	1	0	0	1	0	0
ZSCAN20	1	0	1	0	0	0
CSMD2	0	0	0	0	0	0
GJB5	1	0	0	0	0	0
GJB4	1	0	0	0	0	0
GJB3	4	0	2	1	0	0
GJA4	3	0	0	0	0	0
SMIM12	4	0	1	1	0	0
DLGAP3	0	0	0	0	0	1
ZMYM6	0	0	0	0	0	0
SFPQ	2	0	0	0	0	0
ZMYM4	0	0	0	0	0	0
KIAA0319L	1	0	1	0	0	1
NCDN	1	0	1	0	0	1
TFAP2E	3	0	0	0	0	0
PSMB2	2	1	0	0	1	0
CLSPN	1	0	2	0	0	0
AGO4	0	0	0	0	0	0
AGO1	0	0	0	0	0	1
AGO3	0	0	1	1	0	0
TEKT2	1	0	1	0	0	0
ADPRHL2	1	0	1	0	0	0
COL8A2	1	0	0	0	0	0
MAP7D1	1	1	0	0	0	0
TRAPPC3	1	1	0	0	0	0
THRAP3	2	1	2	0	0	0
SH3D21	2	0	0	0	1	0
EVA1B	0	0	0	0	0	0
STK40	0	1	1	0	1	0
LSM10	0	0	2	0	1	0
OSCP1	2	0	0	0	0	0
MRPS15	0	1	0	1	0	0
CSF3R	0	0	0	0	0	0
GRIK3	0	0	0	0	0	0
ZC3H12A	3	2	1	1	1	0
MEAF6	2	0	1	0	0	0
SNIP1	1	0	1	0	0	0
DNALI1	1	0	1	0	0	0
GNL2	1	0	1	0	0	0
C1orf109	2	1	1	0	1	0
CDCA8	2	1	1	0	1	0
EPHA10	0	0	0	0	0	2
MANEAL	0	0	0	0	0	1
C1orf122	1	0	2	1	0	0
YRDC	1	0	2	1	0	0
MTF1	1	0	1	0	0	1
INPP5B	0	0	0	0	0	1
SF3A3	1	2	2	2	0	0
FHL3	1	1	2	0	0	0
POU3F1	2	0	0	0	0	1
RRAGC	0	0	1	0	0	0
RHBDL2	0	0	0	0	0	0
AKIRIN1	0	0	0	0	0	0
NDUFS5	0	0	1	1	0	0
MACF1	2	0	0	0	0	0
BMP8A	0	0	0	0	0	0
PABPC4	1	0	0	0	0	1
HEYL	0	0	0	0	0	0
NT5C1A	1	1	0	1	0	0
HPCAL4	0	0	0	0	0	1
PPIE	0	0	1	0	0	0
BMP8B	0	0	1	0	0	0
TRIT1	0	0	0	0	0	0
MYCL	1	0	0	0	0	0
MFSD2A	0	0	0	0	0	0
CAP1	1	0	3	0	0	0
PPT1	0	0	0	0	0	0
RLF	2	0	0	0	1	0
ZMPSTE24	0	0	1	0	0	0
COL9A2	1	0	0	0	0	0
SMAP2	0	0	1	0	0	0
ZFP69B	0	0	0	0	0	0
ZFP69	0	0	0	0	0	0
EXO5	0	0	0	0	0	0
ZNF684	1	0	1	0	0	0
RIMS3	2	0	0	0	0	0
NFYC	0	0	0	0	0	0
KCNQ4	2	0	0	0	0	0
CITED4	2	1	0	1	0	0
CTPS1	0	0	0	0	0	0
SLFNL1	1	0	0	0	0	0
SCMH1	0	0	0	0	0	0
FOXO6	1	0	0	0	0	0
EDN2	2	2	0	0	0	1
HIVEP3	0	0	0	0	0	0
FOXJ3	1	0	1	0	0	0
RIMKLA	0	0	0	0	0	1
ZMYND12	0	0	1	0	0	0
PPCS	0	0	1	0	0	0
CCDC30	0	0	0	0	0	0
PPIH	0	0	1	0	0	0
YBX1	0	0	1	0	0	0
CLDN19	3	0	0	0	0	0
C1orf50	2	0	1	0	0	0
ERMAP	0	0	0	1	1	0
ZNF691	1	0	1	0	0	1
SLC2A1	0	2	0	2	0	0
EBNA1BP2	0	0	1	0	0	0
TMEM125	0	0	0	0	0	0
C1orf210	0	0	0	0	0	0
TIE1	0	0	0	0	0	0
MPL	0	0	0	0	0	0
CDC20	2	1	1	1	1	0
ELOVL1	2	1	0	0	1	0
MED8	1	1	1	1	0	0
SZT2	1	1	1	1	0	0
HYI	0	0	0	0	0	0
PTPRF	1	1	0	0	0	0
KDM4A	1	2	0	0	0	0
ST3GAL3	1	0	0	0	0	0
ARTN	4	0	0	0	0	0
IPO13	1	0	1	1	0	1
DPH2	1	0	1	0	1	1
ATP6V0B	1	0	1	0	1	1
B4GALT2	1	0	1	0	1	0
CCDC24	1	0	0	0	0	0
SLC6A9	4	0	0	1	0	0
DMAP1	1	1	1	0	0	0
ERI3	1	0	0	0	0	0
RNF220	0	0	1	0	0	0
TMEM53	1	0	1	0	0	0
C1orf228	1	0	1	0	0	0
KIF2C	2	0	0	0	1	0
RPS8	0	1	0	0	1	0
PLK3	2	2	1	1	0	1
BTBD19	2	2	1	1	0	1
PTCH2	1	0	0	0	0	0
EIF2B3	0	0	0	1	0	0
HECTD3	3	1	0	2	0	0
UROD	3	1	0	2	0	0
ZSWIM5	0	0	0	1	0	1
HPDL	0	0	0	1	0	0
TOE1	0	0	1	1	0	0
MUTYH	0	0	1	0	0	0
TESK2	2	0	0	1	0	0
MMACHC	3	0	0	1	0	0
PRDX1	2	1	1	1	2	1
AKR1A1	0	0	1	0	0	0
NASP	0	0	1	0	0	0
CCDC17	0	0	0	0	0	0
GPBP1L1	0	1	1	1	0	0
TMEM69	0	1	1	1	0	0
IPP	0	0	0	0	1	0
MAST2	0	0	0	0	0	0
TSPAN1	3	0	0	0	0	0
PIK3R3	3	0	0	0	0	0
LURAP1	1	0	0	0	0	0
POMGNT1	2	0	0	0	0	0
RAD54L	2	0	1	0	1	0
LRRC41	0	0	1	0	0	0
UQCRH	0	0	1	0	0	0
NSUN4	3	0	1	0	1	0
FAAH	0	0	0	0	0	0
DMBX1	0	0	0	0	0	0
MKNK1	0	0	0	1	1	0
MOB3C	1	0	0	0	1	0
ATPAF1	0	0	1	0	0	0
EFCAB14	1	0	1	1	0	0
CYP4X1	1	0	0	0	0	0
PDZK1IP1	1	0	1	0	0	0
TAL1	0	0	0	0	0	0
STIL	1	0	1	2	0	0
CMPK1	2	0	0	1	0	0
FOXD2	3	0	0	0	0	1
TRABD2B	1	1	0	0	0	0
SPATA6	0	0	0	0	0	0
BEND5	0	0	0	0	0	0
ELAVL4	0	0	0	0	0	0
DMRTA2	1	0	0	0	0	0
FAF1	2	3	1	2	0	0
CDKN2C	2	3	1	2	0	0
RNF11	0	0	0	1	1	0
TTC39A	1	0	0	0	0	0
EPS15	0	0	0	0	0	0
OSBPL9	0	0	0	0	0	0
RAB3B	0	0	0	0	0	0
KTI12	0	0	1	0	0	0
TXNDC12	0	1	1	0	0	0
BTF3L4	0	1	1	0	0	0
ZFYVE9	0	0	1	0	0	0
CC2D1B	2	0	0	1	0	0
ORC1	1	0	1	2	0	0
PRPF38A	1	0	1	2	0	0
ZCCHC11	0	0	0	0	0	0
GPX7	0	0	0	0	0	0
FAM159A	1	0	0	0	0	0
COA7	1	0	0	0	0	0
ZYG11B	0	0	0	0	0	0
ZYG11A	0	0	0	0	0	0
ECHDC2	1	0	0	0	0	0
SCP2	1	0	0	0	0	0
PODN	0	0	0	0	0	0
CPT2	0	0	1	0	0	0
C1orf123	0	1	1	0	0	1
MAGOH	0	1	1	1	0	0
LRP8	1	0	0	1	1	0
GLIS1	0	0	0	0	0	0
NDC1	0	0	1	0	0	0
YIPF1	0	0	0	0	0	0
DIO1	0	0	0	0	0	0
HSPB11	2	0	0	0	0	0
LRRC42	2	0	0	0	0	0
LDLRAD1	0	1	0	0	0	0
TCEANC2	0	0	2	1	0	0
TMEM59	0	0	2	1	0	0
CYB5RL	0	0	0	0	0	0
MRPL37	0	0	0	0	0	0
SSBP3	0	0	0	1	0	0
ACOT11	1	0	0	0	0	0
TTC4	0	0	1	0	0	1
PARS2	1	0	1	0	0	0
TTC22	4	0	0	0	0	2
DHCR24	0	0	0	0	0	0
TMEM61	2	0	0	0	0	0
PCSK9	1	1	1	0	0	0
USP24	0	0	0	0	0	0
PRKAA2	0	0	0	0	0	0
C1orf168	1	0	0	0	0	0
DAB1	1	0	0	0	0	1
OMA1	1	0	1	0	0	0
TACSTD2	0	1	0	1	0	0
MYSM1	1	0	0	0	0	0
JUN	2	2	0	1	1	1
FGGY	1	0	0	0	0	0
HOOK1	0	0	0	0	0	0
CYP2J2	0	0	0	0	0	0
NFIA	1	0	0	2	0	1
TM2D1	0	0	1	0	2	0
L1TD1	0	0	0	0	0	0
KANK4	0	0	0	1	0	0
USP1	0	0	1	2	0	1
DOCK7	0	0	0	1	0	0
ATG4C	0	1	1	0	0	0
FOXD3	3	0	1	0	0	0
ALG6	0	0	0	0	0	0
ITGB3BP	0	0	2	0	0	1
EFCAB7	0	0	2	0	0	1
PGM1	0	0	0	0	0	0
ROR1	1	0	0	0	0	0
RAVER2	1	0	0	0	0	0
JAK1	2	0	0	0	0	0
AK4	0	0	0	0	0	0
DNAJC6	0	0	0	0	0	0
LEPROT	0	0	1	0	0	0
LEPR	0	0	1	0	0	0
PDE4B	0	0	0	0	0	0
SGIP1	0	0	0	0	0	0
TCTEX1D1	0	0	0	0	0	0
WDR78	0	0	1	0	0	0
MIER1	0	0	1	0	0	0
SLC35D1	0	0	0	0	0	0
IL23R	0	0	0	0	0	0
IL12RB2	1	0	0	0	0	0
SERBP1	0	0	2	0	0	1
GADD45A	0	3	0	4	2	1
GNG12	0	0	1	0	0	0
DIRAS3	0	0	0	0	0	0
WLS	0	0	1	0	0	0
DEPDC1	1	0	0	0	0	0
LRRC7	0	0	0	0	0	0
LRRC40	0	0	0	0	0	0
SRSF11	0	0	0	0	0	0
ANKRD13C	0	0	0	1	0	1
HHLA3	0	0	0	1	0	1
CTH	0	1	0	0	0	0
PTGER3	1	0	0	0	0	0
ZRANB2	1	1	1	1	0	0
NEGR1	1	0	0	0	0	0
LRRIQ3	0	0	0	0	0	0
FPGT	0	0	0	0	0	0
FPGT-TNNI3K	0	0	0	0	0	0
TNNI3K	0	0	0	0	0	0
TYW3	1	1	0	0	0	0
CRYZ	1	1	0	0	0	0
LHX8	0	0	0	0	0	0
ACADM	0	0	0	0	0	0
RABGGTB	0	0	0	1	0	0
MSH4	0	0	0	0	0	0
ST6GALNAC3	0	0	0	0	0	0
ST6GALNAC5	0	0	0	0	0	0
PIGK	0	0	0	0	0	0
AK5	0	0	0	0	0	0
ZZZ3	1	1	1	0	0	0
USP33	0	0	1	0	0	0
FAM73A	0	0	1	0	0	0
NEXN	0	0	0	0	0	0
DNAJB4	1	0	0	0	0	0
FUBP1	1	0	0	0	0	0
GIPC2	0	0	0	0	0	0
PTGFR	0	0	0	0	0	0
IFI44L	1	0	0	0	0	0
IFI44	0	0	0	0	0	0
TTLL7	0	0	0	0	0	0
PRKACB	0	0	1	0	0	0
SAMD13	0	0	0	0	0	0
RPF1	0	0	1	0	0	0
GNG5	0	0	0	0	0	1
CTBS	0	0	0	0	0	0
SSX2IP	1	0	0	0	0	0
LPAR3	1	0	0	0	0	0
MCOLN2	0	0	0	0	0	0
MCOLN3	0	0	0	0	0	0
WDR63	0	0	0	0	0	0
SYDE2	0	1	0	0	0	0
C1orf52	1	0	1	0	0	0
BCL10	1	1	0	1	0	0
DDAH1	2	2	0	0	0	0
CYR61	2	2	0	0	0	0
ZNHIT6	1	0	0	0	0	0
COL24A1	0	0	0	1	0	0
ODF2L	0	0	0	0	0	0
CLCA2	1	1	0	1	1	0
CLCA1	2	0	0	0	0	0
CLCA4	0	0	0	0	0	0
SH3GLB1	1	0	0	0	0	0
SEP15	0	0	0	0	0	0
HS2ST1	0	0	0	0	0	0
LMO4	1	1	0	0	0	0
PKN2	0	0	1	0	0	0
GTF2B	0	2	0	1	2	1
RBMXL1	1	0	0	0	0	0
GBP3	0	0	0	0	0	0
GBP1	0	0	0	0	0	0
GBP2	0	1	0	0	0	0
GBP4	0	0	0	0	0	0
GBP5	0	0	0	0	0	0
GBP6	1	0	0	0	0	0
LRRC8B	1	0	0	2	1	0
LRRC8C	0	0	0	0	0	0
LRRC8D	0	0	0	0	0	0
ZNF326	1	0	1	1	0	1
BARHL2	2	0	0	1	0	1
ZNF644	1	0	0	1	0	0
CDC7	1	2	0	1	0	0
TGFBR3	0	1	0	1	0	0
EPHX4	0	0	0	0	0	0
BTBD8	0	0	0	0	0	0
RPAP2	1	0	0	0	1	0
GLMN	1	0	0	0	1	0
GFI1	1	0	0	0	0	0
EVI5	0	0	0	0	0	0
RPL5	1	2	0	0	1	1
FAM69A	2	0	0	0	1	0
MTF2	0	2	0	0	1	1
TMED5	0	0	0	0	0	0
CCDC18	0	0	0	0	0	0
DR1	0	2	1	0	0	2
FNBP1L	1	0	0	0	0	0
BCAR3	4	2	0	1	0	2
DNTTIP2	2	0	1	0	1	1
GCLM	2	2	0	2	1	0
ARHGAP29	1	0	0	1	0	0
ABCD3	0	1	0	0	0	0
F3	0	0	0	2	1	0
SLC44A3	0	0	0	0	0	0
CNN3	0	0	0	1	0	0
ALG14	0	0	0	0	1	0
TMEM56	1	0	0	0	0	0
RWDD3	1	0	1	0	0	0
PTBP2	0	0	0	0	0	0
DPYD	0	0	0	0	0	0
SNX7	0	0	0	0	0	0
PALMD	1	1	0	0	0	0
AGL	0	0	1	0	0	0
SLC35A3	0	1	1	0	0	0
SASS6	0	2	1	0	0	0
TRMT13	0	2	1	0	0	0
DBT	0	0	1	0	0	0
RTCA	0	0	0	1	0	0
CDC14A	1	0	0	0	0	0
VCAM1	0	0	0	0	0	0
EXTL2	0	1	3	1	0	0
DPH5	0	1	0	0	0	0
S1PR1	2	0	0	0	0	0
OLFM3	0	0	0	0	0	1
COL11A1	1	0	0	0	0	0
RNPC3	0	0	0	0	0	0
PRMT6	1	0	1	0	0	0
NTNG1	1	1	0	0	0	1
VAV3	0	0	0	0	0	0
SLC25A24	2	1	1	2	1	0
FAM102B	4	3	0	1	1	0
HENMT1	0	2	1	0	0	0
PRPF38B	1	0	1	0	0	1
STXBP3	1	1	1	1	1	0
AKNAD1	0	0	0	0	0	0
GPSM2	0	0	0	0	1	1
CLCC1	0	1	0	0	1	0
WDR47	0	0	0	0	0	0
TAF13	0	0	1	0	0	1
C1orf194	2	0	0	0	0	0
KIAA1324	2	0	0	0	0	0
SARS	0	2	1	0	0	0
PSRC1	4	0	1	0	0	0
MYBPHL	0	0	0	0	0	0
SORT1	0	0	0	0	0	0
PSMA5	0	2	1	0	0	1
SYPL2	0	0	0	0	0	0
ATXN7L2	3	0	0	1	0	2
CYB561D1	5	0	1	1	0	0
AMIGO1	1	0	0	0	0	0
GNAI3	1	1	1	0	0	0
AMPD2	1	0	1	0	1	0
GSTM4	1	2	0	0	0	0
GSTM2	0	0	0	0	0	0
GSTM1	0	0	0	1	0	0
GSTM5	2	1	0	1	2	0
GSTM3	0	0	0	0	0	0
EPS8L3	1	1	0	1	1	0
CSF1	1	0	0	0	0	0
AHCYL1	2	4	0	1	1	0
STRIP1	1	1	0	0	0	0
ALX3	0	0	0	0	0	0
SLC6A17	2	0	0	0	0	1
KCNC4	2	0	2	0	0	1
RBM15	2	0	1	1	0	0
SLC16A4	0	0	0	1	0	0
LAMTOR5	1	0	1	2	1	0
KCNA2	1	0	0	0	0	0
KCNA3	0	0	0	0	0	0
CD53	0	0	0	0	0	0
LRIF1	2	1	1	1	0	1
CEPT1	0	0	0	0	0	0
DRAM2	0	0	0	0	0	0
DENND2D	1	0	0	0	0	0
CHI3L2	1	0	0	0	0	0
PIFO	0	0	0	0	0	0
ATP5F1	1	0	0	0	0	0
WDR77	1	0	0	0	0	0
C1orf162	1	0	0	0	0	0
ADORA3	2	0	0	0	0	0
RAP1A	0	0	0	0	0	0
DDX20	3	2	1	0	1	0
FAM212B	3	2	1	0	1	0
