name	gene_id	bin	FPKM	expression
ACADSB	ENSG00000196177	chr10:124760000	5.36	5.338001
ACADVL	ENSG00000072778	chr17:7120000	140.21	120.882001
ACAN	ENSG00000157766	Notinthiscell	0.0	1e-06
ACAP1	ENSG00000072818	chr17:7230000	2.88	3.110001
ACAP2	ENSG00000114331	chr3:195160000	27.32	24.306001
ACAP3	ENSG00000131584	chr1:1240000	18.41	17.018001
ACAT1	ENSG00000075239	chr11:107990000	114.5	96.816001
ACAT2	ENSG00000120437	chr6:160180000	101.74	86.214001
ACBD3	ENSG00000182827	chr1:226370000	30.58	27.118001
ACBD4	ENSG00000181513	chr17:43200000	1.99	2.304001
ACBD5	ENSG00000107897	chr10:27530000	5.63	5.580001
ACBD6	ENSG00000230124	chr1:180470000	2.48	2.796001
ACBD7	ENSG00000176244	chr10:15130000	1.99	2.304001
ACCS	ENSG00000110455	chr11:44080000	12.64	11.844001
ACD	ENSG00000102977	chr16:67690000	20.69	18.934001
ACE	ENSG00000159640	chr17:61550000	3.89	4.010001
ACE2	ENSG00000130234	Notinthiscell	0.01	0.020001
ACER1	ENSG00000167769	Notinthiscell	0.0	1e-06
ACER2	ENSG00000177076	chr9:19400000	0.34	0.528001
ACER3	ENSG00000078124	chr11:76570000	6.17	6.008001
ACHE	ENSG00000087085	chr7:100490000	1.67	2.046001
ACIN1	ENSG00000100813	chr14:23560000	66.59	57.192001
ACKR2	ENSG00000144648	Notinthiscell	0.05	0.080001
ACKR3	ENSG00000144476	Notinthiscell	0.0	1e-06
ACKR4	ENSG00000129048	Notinthiscell	0.0	1e-06
ACLY	ENSG00000131473	chr17:40070000	212.84	177.218001
ACMSD	ENSG00000153086	Notinthiscell	0.0	1e-06
ACO1	ENSG00000122729	chr9:32380000	11.78	11.126001
ACO2	ENSG00000100412	chr22:41860000	90.94	77.570001
ACOT1	ENSG00000184227	Notinthiscell	0.04	0.062001
ACOT11	ENSG00000162390	chr1:55010000	0.24	0.368001
ACOT13	ENSG00000112304	chr6:24660000	111.8	94.786001
ACOT2	ENSG00000119673	chr14:74030000	0.19	0.298001
ACOT4	ENSG00000177465	chr14:74050000	0.0	1e-06
ACOT7	ENSG00000097021	chr1:6450000	42.76	37.020001
ACOT8	ENSG00000101473	chr20:44480000	14.24	13.220001
ACOT9	ENSG00000123130	chrX:23760000	24.38	22.000001
ACOX1	ENSG00000161533	chr17:73970000	15.37	14.278001
ACOX2	ENSG00000168306	Notinthiscell	0.0	1e-06
ACOX3	ENSG00000087008	chr4:8440000	5.21	5.194001
ACOXL	ENSG00000153093	chr2:111490000	0.0	1e-06
ACP1	ENSG00000143727	chr2:260000	433.42	369.694001
ACP2	ENSG00000134575	chr11:47270000	9.45	8.962001
ACP5	ENSG00000102575	chr19:11680000	1.14	1.472001
ACP6	ENSG00000162836	chr1:147140000	0.09	0.140001
ACPP	ENSG00000014257	chr3:132030000	0.7	0.982001
ACRBP	ENSG00000111644	Notinthiscell	2.05	2.392001
ACRC	no_id	Notinthiscell	0.0	1e-06
ACSBG1	ENSG00000103740	chr15:78520000	1.87	2.208001
ACSF2	ENSG00000167107	chr17:48500000	9.71	9.178001
ACSF3	ENSG00000176715	chr16:89160000	11.8	11.134001
ACSL1	ENSG00000151726	chr4:185740000	17.63	16.294001
ACSL3	ENSG00000123983	chr2:223720000	79.4	67.744001
ACSL4	ENSG00000068366	chrX:108970000	36.49	32.196001
ACSL5	ENSG00000197142	chr10:114130000	1.23	1.584001
ACSL6	ENSG00000164398	chr5:131340000	0.88	1.210001
ACSM3	ENSG00000005187	chr16:20770000	270.4	222.848001
ACSM5	ENSG00000183549	Notinthiscell	0.0	1e-06
ACSS1	ENSG00000154930	chr20:25030000	0.11	0.174001
ACSS2	ENSG00000131069	chr20:33460000	65.58	56.156001
ACTA1	ENSG00000143632	Notinthiscell	0.0	1e-06
ACTA2	ENSG00000107796	chr10:90750000	0.26	0.398001
ACTB	ENSG00000075624	chr7:5570000	1733.01	1791.554001
ACTBL2	ENSG00000169067	Notinthiscell	0.0	1e-06
ACTG1	ENSG00000184009	chr17:79470000	2138.36	2621.362001
ACTG2	ENSG00000163017	Notinthiscell	0.04	0.062001
ACTL6A	ENSG00000136518	chr3:179280000	132.95	113.322001
ACTL6B	ENSG00000077080	Notinthiscell	0.2	0.312001
ACTL8	ENSG00000117148	Notinthiscell	0.53	0.782001
ACTN1	ENSG00000072110	chr14:69440000	73.4	62.674001
ACTN2	ENSG00000077522	chr1:236840000	1.47	1.806001
ACTN4	no_id	chr19:39130000	0.0	1e-06
ACTR10	ENSG00000131966	chr14:58660000	10.54	10.014001
ACTR1A	ENSG00000138107	chr10:104260000	24.18	21.826001
ACTR1B	ENSG00000115073	chr2:98280000	36.96	32.618001
ACTR2	ENSG00000138071	chr2:65450000	177.37	149.362001
ACTR3	ENSG00000115091	chr2:114640000	217.68	181.386001
ACTR3B	ENSG00000133627	chr7:152450000	17.14	15.832001
ACTR3C	ENSG00000106526	chr7:150020000	7.41	7.114001
ACTR5	ENSG00000101442	chr20:37370000	11.41	10.772001
ACTR8	ENSG00000113812	chr3:53910000	21.38	19.514001
ACTRT3	ENSG00000184378	chr3:169480000	0.05	0.080001
ACVR1	ENSG00000115170	chr2:158730000	8.7	8.238001
ACVR1B	ENSG00000135503	chr12:52340000	3.13	3.332001
ACVR1C	ENSG00000123612	chr2:158480000	0.35	0.538001
ACVR2A	ENSG00000121989	chr2:148600000	1.45	1.792001
ACVR2B	ENSG00000114739	chr3:38490000	2.28	2.608001
ACVRL1	ENSG00000139567	chr12:52300000	0.69	0.970001
ACY1	ENSG00000243989	chr3:52010000	45.76	39.530001
ACY3	ENSG00000132744	Notinthiscell	0.0	1e-06
ACYP1	ENSG00000119640	chr14:75530000	9.01	8.558001
ACYP2	ENSG00000170634	chr2:54190000	1.24	1.598001
ADA	ENSG00000196839	chr20:43280000	8.66	8.204001
ADAL	ENSG00000168803	chr15:43620000	30.18	26.820001
ADAM10	ENSG00000137845	chr15:59040000	31.05	27.490001
ADAM11	ENSG00000073670	Notinthiscell	0.13	0.210001
ADAM12	ENSG00000148848	chr10:128070000	0.0	1e-06
ADAM15	ENSG00000143537	chr1:155020000	32.01	28.282001
ADAM17	ENSG00000151694	chr2:9690000	10.19	9.700001
ADAM19	ENSG00000135074	chr5:157000000	0.53	0.782001
ADAM22	ENSG00000008277	chr7:87560000	0.32	0.494001
ADAM23	ENSG00000114948	Notinthiscell	0.04	0.062001
ADAM28	ENSG00000042980	chr8:24150000	0.0	1e-06
ADAM32	no_id	chr8:38960000	0.0	1e-06
ADAM8	ENSG00000151651	chr10:135090000	1.44	1.788001
ADAM9	no_id	chr8:38850000	0.0	1e-06
ADAMDEC1	ENSG00000134028	Notinthiscell	0.0	1e-06
ADAMTS1	ENSG00000154734	chr21:28210000	0.0	1e-06
ADAMTS10	ENSG00000142303	chr19:8670000	0.06	0.092001
ADAMTS12	no_id	Notinthiscell	0.0	1e-06
ADAMTS13	no_id	Notinthiscell	0.0	1e-06
ADAMTS14	ENSG00000138316	chr10:72430000	10.94	10.384001
ADAMTS17	ENSG00000140470	chr15:100880000	0.0	1e-06
ADAMTS18	ENSG00000140873	Notinthiscell	0.0	1e-06
ADAMTS19	ENSG00000145808	chr5:128790000	0.0	1e-06
ADAMTS2	no_id	Notinthiscell	0.0	1e-06
ADAMTS3	ENSG00000156140	chr4:73430000	10.1	9.624001
ADAMTS4	ENSG00000158859	chr1:161160000	0.36	0.550001
ADAMTS5	ENSG00000154736	chr21:28330000	0.0	1e-06
ADAMTS6	ENSG00000049192	chr5:64770000	0.92	1.240001
ADAMTS7	ENSG00000136378	chr15:79100000	0.0	1e-06
ADAMTS9	ENSG00000163638	chr3:64670000	0.08	0.122001
ADAMTSL1	ENSG00000178031	Notinthiscell	0.02	0.030001
ADAMTSL2	ENSG00000197859	chr9:136390000	0.0	1e-06
ADAMTSL3	ENSG00000156218	Notinthiscell	0.03	0.046001
ADAMTSL4	ENSG00000143382	chr1:150520000	36.19	31.906001
ADAMTSL5	ENSG00000185761	chr19:1510000	4.19	4.274001
ADAP1	ENSG00000105963	chr7:990000	0.43	0.650001
ADAP2	ENSG00000184060	chr17:29240000	0.18	0.286001
ADAR	ENSG00000160710	chr1:154600000	32.71	28.858001
ADARB1	ENSG00000197381	chr21:46490000	4.63	4.694001
ADARB2	ENSG00000185736	Notinthiscell	0.0	1e-06
ADAT1	ENSG00000065457	chr16:75650000	14.11	13.106001
ADAT2	ENSG00000189007	chr6:143770000	11.59	10.922001
ADAT3	ENSG00000213638	chr19:1900000	0.47	0.702001
ADCK1	ENSG00000063761	chr14:78260000	9.23	8.762001
ADCK2	ENSG00000133597	chr7:140370000	10.06	9.578001
ADCK3	no_id	chr1:227120000	0.0	1e-06
ADCK4	no_id	chr19:41220000	0.0	1e-06
ADCK5	ENSG00000173137	chr8:145590000	2.34	2.672001
ADCY1	ENSG00000164742	chr7:45610000	0.0	1e-06
ADCY2	ENSG00000078295	Notinthiscell	0.15	0.246001
ADCY3	ENSG00000138031	chr2:25140000	24.44	22.052001
ADCY4	ENSG00000129467	chr14:24800000	0.05	0.080001
ADCY5	ENSG00000173175	Notinthiscell	0.02	0.030001
ADCY6	ENSG00000174233	chr12:49180000	0.46	0.688001
ADCY7	ENSG00000121281	chr16:50300000	19.43	17.950001
ADCY9	ENSG00000162104	chr16:4160000	0.23	0.356001
ADCYAP1	ENSG00000141433	chr18:900000	0.03	0.046001
ADD1	ENSG00000087274	chr4:2840000	167.59	140.914001
ADD2	ENSG00000075340	chr2:70990000	25.64	22.994001
ADD3	ENSG00000148700	chr10:111750000	130.7	111.280001
ADGB	ENSG00000118492	chr6:146920000	0.02	0.030001
ADH1B	ENSG00000196616	Notinthiscell	0.0	1e-06
ADH5	ENSG00000197894	chr4:100000000	110.26	93.668001
ADH6	ENSG00000172955	Notinthiscell	0.5	0.738001
ADH7	ENSG00000196344	Notinthiscell	0.0	1e-06
ADHFE1	ENSG00000147576	chr8:67340000	0.1	0.156001
ADI1	no_id	chr2:3520000	0.0	1e-06
ADIPOQ	ENSG00000181092	Notinthiscell	0.0	1e-06
ADIPOR1	ENSG00000159346	chr1:202920000	47.14	40.546001
ADIPOR2	ENSG00000006831	chr12:1800000	36.7	32.388001
ADIRF	ENSG00000148671	chr10:88720000	0.0	1e-06
ADK	ENSG00000156110	chr10:75910000	64.57	55.432001
ADM	ENSG00000148926	chr11:10320000	0.18	0.286001
ADM2	ENSG00000128165	chr22:50920000	0.3	0.462001
ADNP	ENSG00000101126	chr20:49540000	19.34	17.862001
ADNP2	ENSG00000101544	chr18:77860000	6.82	6.612001
ADO	ENSG00000181915	chr10:64560000	2.86	3.094001
ADORA1	ENSG00000163485	Notinthiscell	0.0	1e-06
ADORA2A	ENSG00000128271	chr22:24810000	0.05	0.080001
ADORA2B	ENSG00000170425	chr17:15840000	3.41	3.562001
ADORA3	no_id	chr1:112040000	0.0	1e-06
ADPGK	ENSG00000159322	chr15:73070000	17.12	15.796001
ADPRH	ENSG00000144843	chr3:119290000	0.97	1.292001
ADPRHL1	ENSG00000153531	chr13:114100000	0.52	0.768001
ADPRHL2	ENSG00000116863	chr1:36550000	11.44	10.796001
ADPRM	ENSG00000170222	chr17:10600000	1.66	2.032001
ADRA1B	ENSG00000170214	Notinthiscell	0.0	1e-06
ADRA1D	ENSG00000171873	Notinthiscell	0.07	0.110001
ADRA2A	ENSG00000150594	chr10:112830000	0.0	1e-06
ADRB1	ENSG00000043591	chr10:115800000	0.02	0.030001
ADRB2	ENSG00000169252	chr5:148200000	0.0	1e-06
ADRB3	ENSG00000188778	chr8:37820000	0.0	1e-06
ADRM1	ENSG00000130706	chr20:60870000	201.34	168.464001
ADSL	ENSG00000239900	chr22:40740000	114.11	96.416001
ADSS	ENSG00000035687	chr1:244610000	31.61	27.952001
ADSSL1	ENSG00000185100	chr14:105190000	5.55	5.512001
ADTRP	ENSG00000111863	chr6:11770000	7.48	7.160001
AEBP1	ENSG00000106624	chr7:44140000	0.28	0.430001
AEBP2	ENSG00000139154	chr12:19590000	8.71	8.254001
AEN	ENSG00000181026	chr15:89160000	13.77	12.832001
AES	ENSG00000104964	chr19:3060000	1456.32	1406.616001
AFAP1	ENSG00000196526	chr4:7940000	0.19	0.298001
AFAP1L1	ENSG00000157510	chr5:148650000	0.02	0.030001
AFAP1L2	ENSG00000169129	chr10:116160000	0.01	0.020001
AFF1	ENSG00000172493	chr4:87850000	16.0	14.806001
AFF2	ENSG00000155966	chrX:147580000	0.05	0.080001
AFF3	ENSG00000144218	chr2:100750000	0.02	0.030001
AFF4	ENSG00000072364	chr5:132290000	27.45	24.396001
AFG3L2	ENSG00000141385	chr18:12370000	116.32	98.118001
AFMID	ENSG00000183077	chr17:76180000	32.72	28.880001
AFP	ENSG00000081051	chr4:74300000	4.47	4.524001
AFTPH	ENSG00000119844	chr2:64750000	6.64	6.444001
AGA	ENSG00000038002	chr4:178360000	10.77	10.218001
AGAP1	ENSG00000157985	chr2:236400000	14.54	13.476001
AGAP2	ENSG00000135439	chr12:58130000	0.42	0.630001
AGAP3	ENSG00000133612	chr7:150780000	63.92	54.926001
AGBL2	ENSG00000165923	chr11:47730000	0.49	0.726001
AGBL3	ENSG00000146856	chr7:134670000	0.76	1.064001
AGBL5	ENSG00000084693	chr2:27270000	125.71	106.266001
AGFG1	ENSG00000173744	chr2:228330000	13.98	12.974001
AGFG2	ENSG00000106351	chr7:100130000	2.75	3.012001
AGGF1	ENSG00000164252	chr5:76320000	14.86	13.780001
AGK	no_id	chr7:141250000	0.0	1e-06
AGL	ENSG00000162688	chr1:100310000	7.02	6.766001
AGMAT	ENSG00000116771	chr1:15910000	0.02	0.030001
AGMO	ENSG00000187546	Notinthiscell	0.17	0.268001
AGO1	ENSG00000092847	chr1:36330000	6.32	6.150001
AGO2	ENSG00000123908	chr8:141640000	12.28	11.566001
AGO3	ENSG00000126070	chr1:36390000	9.32	8.856001
AGO4	ENSG00000134698	chr1:36270000	3.06	3.272001
AGPAT1	no_id	chr6:32140000	0.0	1e-06
AGPAT2	ENSG00000169692	chr9:139580000	4.85	4.876001
AGPAT3	ENSG00000160216	chr21:45280000	68.92	59.206001
AGPAT4	ENSG00000026652	chr6:161690000	23.75	21.480001
AGPAT5	ENSG00000155189	chr8:6560000	140.2	120.748001
AGPS	ENSG00000018510	chr2:178250000	22.06	20.110001
AGR2	ENSG00000106541	Notinthiscell	0.0	1e-06
AGRN	ENSG00000188157	chr1:950000	23.89	21.612001
AGT	ENSG00000135744	chr1:230850000	0.0	1e-06
AGTPBP1	ENSG00000135049	chr9:88350000	2.44	2.768001
AGTR2	ENSG00000180772	Notinthiscell	0.0	1e-06
AGTRAP	ENSG00000177674	chr1:11790000	28.31	25.212001
AHCTF1	ENSG00000153207	chr1:247090000	85.41	73.082001
AHCY	ENSG00000101444	chr20:32890000	131.14	111.742001
AHCYL1	ENSG00000168710	chr1:110520000	104.19	88.222001
AHCYL2	ENSG00000158467	chr7:128860000	11.9	11.234001
AHDC1	ENSG00000126705	chr1:27930000	5.62	5.564001
AHI1	ENSG00000135541	chr6:135810000	47.31	40.774001
AHNAK	ENSG00000124942	chr11:62310000	24.55	22.150001
AHNAK2	ENSG00000185567	chr14:105440000	0.11	0.174001
AHR	ENSG00000106546	chr7:17330000	0.0	1e-06
AHSA1	ENSG00000100591	chr14:77920000	198.85	165.038001
AHSA2	no_id	chr2:61400000	0.0	1e-06
AHSP	ENSG00000169877	chr16:31530000	112.5	95.316001
AICDA	ENSG00000111732	Notinthiscell	0.0	1e-06
AIDA	ENSG00000186063	Notinthiscell	18.49	17.094001
AIF1	no_id	chr6:31580000	0.0	1e-06
AIF1L	ENSG00000126878	chr9:133970000	5.13	5.128001
AIFM1	ENSG00000156709	chrX:129290000	127.61	107.474001
AIFM2	ENSG00000042286	chr10:71890000	9.2	8.732001
AIG1	ENSG00000146416	chr6:143380000	48.88	41.744001
AIM1	no_id	Notinthiscell	0.0	1e-06
AIM2	ENSG00000163568	chr1:159040000	0.2	0.312001
AIMP1	ENSG00000164022	chr4:107230000	78.13	66.802001
AIMP2	ENSG00000106305	chr7:6040000	21.53	19.684001
AIP	ENSG00000110711	chr11:67250000	80.35	68.934001
AIRE	ENSG00000160224	AIRE	0.0	1e-06
AJAP1	ENSG00000196581	Notinthiscell	0.0	1e-06
AJUBA	ENSG00000129474	chr14:23450000	0.97	1.292001
AK1	ENSG00000106992	chr9:130640000	37.75	33.170001
AK2	ENSG00000004455	chr1:33500000	214.95	179.074001
AK3	ENSG00000147853	chr9:4740000	11.99	11.294001
AK4	ENSG00000162433	chr1:65610000	17.66	16.352001
AK5	ENSG00000154027	chr1:77740000	0.0	1e-06
AK7	ENSG00000140057	chr14:96850000	0.56	0.814001
AK8	ENSG00000165695	chr9:135750000	0.16	0.254001
AK9	ENSG00000155085	chr6:110010000	1.85	2.194001
AKAP1	ENSG00000121057	chr17:55160000	51.04	43.554001
AKAP10	ENSG00000108599	chr17:19880000	7.64	7.298001
AKAP11	ENSG00000023516	chr13:42840000	6.34	6.162001
AKAP12	ENSG00000131016	chr6:151560000	3.39	3.542001
AKAP13	ENSG00000170776	chr15:85920000	0.53	0.782001
AKAP14	ENSG00000186471	Notinthiscell	0.0	1e-06
AKAP2	ENSG00000241978	chr9:112810000	0.8	1.118001
AKAP3	ENSG00000111254	chr12:4750000	0.27	0.418001
AKAP4	ENSG00000147081	Notinthiscell	0.2	0.312001
AKAP5	ENSG00000179841	chr14:64930000	0.52	0.768001
AKAP6	ENSG00000151320	Notinthiscell	0.35	0.538001
AKAP7	ENSG00000118507	chr6:131450000	1.52	1.866001
AKAP8	ENSG00000105127	chr19:15490000	24.35	21.970001
AKAP8L	ENSG00000011243	chr19:15520000	143.24	123.130001
AKAP9	ENSG00000127914	chr7:91570000	94.84	80.812001
AKIP1	ENSG00000166452	chr11:8930000	40.88	35.516001
AKIRIN1	ENSG00000174574	chr1:39450000	51.15	43.600001
AKIRIN2	ENSG00000135334	chr6:88410000	17.27	15.952001
AKNA	ENSG00000106948	chr9:117150000	1.63	1.994001
AKNAD1	ENSG00000162641	chr1:109400000	0.0	1e-06
AKR1A1	ENSG00000117448	chr1:46010000	89.17	75.562001
AKR1B1	ENSG00000085662	chr7:134140000	2.9	3.128001
AKR1B10	ENSG00000198074	Notinthiscell	0.0	1e-06
AKR1C1	ENSG00000187134	chr10:5000000	44.86	38.616001
AKR1C2	ENSG00000151632	chr10:5060000	20.27	18.632001
AKR1E2	ENSG00000165568	chr10:4860000	6.9	6.676001
AKR7A2	ENSG00000053371	chr1:19630000	33.76	29.908001
AKT1	ENSG00000142208	chr14:105260000	77.76	66.306001
AKT1S1	ENSG00000204673	chr19:50380000	15.18	14.134001
AKT2	ENSG00000105221	chr19:40790000	59.99	51.338001
AKT3	no_id	chr1:244000000	0.0	1e-06
AKTIP	ENSG00000166971	chr16:53530000	5.21	5.194001
ALAD	ENSG00000148218	chr9:116160000	6.89	6.672001
ALAS1	ENSG00000023330	chr3:52230000	21.45	19.576001
ALAS2	ENSG00000158578	chrX:55050000	88.14	74.642001
ALB	ENSG00000163631	Notinthiscell	0.33	0.508001
ALCAM	ENSG00000170017	chr3:105080000	0.1	0.156001
ALDH16A1	ENSG00000161618	chr19:49950000	21.04	19.246001
ALDH18A1	ENSG00000059573	chr10:97410000	87.69	74.310001
ALDH1A1	ENSG00000165092	chr9:75560000	60.55	51.878001
ALDH1A2	ENSG00000128918	chr15:58350000	220.27	184.288001
ALDH1A3	ENSG00000184254	chr15:101410000	0.0	1e-06
ALDH1B1	ENSG00000137124	chr9:38390000	15.89	14.738001
ALDH1L1	ENSG00000144908	Notinthiscell	0.7	0.982001
ALDH1L2	ENSG00000136010	chr12:105470000	4.2	4.280001
ALDH2	ENSG00000111275	chr12:112200000	19.15	17.704001
ALDH3A1	ENSG00000108602	chr17:19650000	0.0	1e-06
ALDH3A2	ENSG00000072210	chr17:19550000	0.0	1e-06
ALDH3B1	ENSG00000006534	chr11:67770000	0.28	0.430001
ALDH3B2	ENSG00000132746	Notinthiscell	0.0	1e-06
ALDH4A1	ENSG00000159423	chr1:19220000	16.52	15.260001
ALDH5A1	ENSG00000112294	chr6:24490000	9.49	8.994001
ALDH6A1	ENSG00000119711	chr14:74550000	1.99	2.304001
ALDH7A1	ENSG00000164904	chr5:125930000	0.0	1e-06
ALDH8A1	ENSG00000118514	chr6:135270000	0.04	0.062001
ALDH9A1	ENSG00000143149	chr1:165660000	29.02	25.916001
ALDOA	ENSG00000149925	chr16:30060000	2085.34	2491.112001
ALDOB	ENSG00000136872	Notinthiscell	0.02	0.030001
ALDOC	ENSG00000109107	chr17:26900000	83.41	71.390001
ALG1	ENSG00000033011	chr16:5120000	10.79	10.234001
ALG10	ENSG00000139133	chr12:34170000	0.73	1.028001
ALG10B	ENSG00000175548	chr12:38710000	0.42	0.630001
ALG11	ENSG00000253710	chr13:52580000	3.84	3.956001
ALG12	ENSG00000182858	chr22:50310000	4.22	4.298001
ALG13	ENSG00000101901	chrX:110920000	51.45	43.922001
ALG14	ENSG00000172339	chr1:95530000	1.9	2.230001
ALG2	ENSG00000119523	chr9:101980000	5.15	5.152001
ALG3	ENSG00000214160	chr3:183960000	25.55	22.932001
