name	gene_id	bin	FPKM	expression
ACSL1	ENSG00000151726	chr4:185740000	49.58	50.770001
ACSL3	ENSG00000123983	chr2:223720000	28.55	28.060001
ACSL4	ENSG00000068366	chrX:108970000	34.38	34.486001
ACSL5	ENSG00000197142	chr10:114130000	54.61	56.464001
ACSL6	ENSG00000164398	Notinthiscell	0.04	0.024001
ACSM3	ENSG00000005187	chr16:20770000	8.83	8.324001
ACSM5	ENSG00000183549	Notinthiscell	0.0	1e-06
ACSS1	ENSG00000154930	chr20:25030000	11.91	11.278001
ACSS2	ENSG00000131069	chr20:33460000	17.21	16.500001
ACTA1	ENSG00000143632	Notinthiscell	0.0	1e-06
ACTA2	ENSG00000107796	chr10:90750000	24.39	23.724001
ACTB	ENSG00000075624	chr7:5570000	6786.34	6565.732001
ACTBL2	ENSG00000169067	Notinthiscell	0.0	1e-06
ACTG1	ENSG00000184009	chr17:79470000	7652.18	6970.976001
ACTG2	ENSG00000163017	Notinthiscell	0.05	0.036001
ACTL6A	ENSG00000136518	chr3:179280000	42.34	42.846001
ACTL6B	ENSG00000077080	chr7:100250000	0.0	1e-06
ACTL8	ENSG00000117148	chr1:18080000	0.0	1e-06
ACTN1	ENSG00000072110	chr14:69440000	4.63	4.342001
ACTN2	ENSG00000077522	Notinthiscell	0.09	0.068001
ACTN4	no_id	chr19:39130000	0.0	1e-06
ACTR10	ENSG00000131966	chr14:58660000	7.5	7.130001
ACTR1A	ENSG00000138107	chr10:104260000	16.87	16.208001
ACTR1B	ENSG00000115073	chr2:98280000	52.3	53.740001
ACTR2	ENSG00000138071	chr2:65450000	177.17	193.156001
ACTR3	ENSG00000115091	chr2:114640000	236.79	259.170001
ACTR3B	ENSG00000133627	chr7:152450000	5.14	4.806001
ACTR3C	ENSG00000106526	chr7:150020000	0.87	0.854001
ACTR5	ENSG00000101442	chr20:37370000	5.74	5.364001
ACTR8	ENSG00000113812	chr3:53910000	32.47	32.226001
ACTRT3	ENSG00000184378	chr3:169480000	0.15	0.126001
ACVR1	ENSG00000115170	Notinthiscell	0.05	0.036001
ACVR1B	ENSG00000135503	chr12:52340000	0.2	0.190001
ACVR1C	ENSG00000123612	Notinthiscell	0.09	0.068001
ACVR2A	ENSG00000121989	chr2:148600000	0.96	0.946001
ACVR2B	ENSG00000114739	chr3:38490000	1.35	1.322001
ACVRL1	ENSG00000139567	Notinthiscell	0.06	0.042001
ACY1	ENSG00000243989	chr3:52010000	9.63	9.124001
ACY3	ENSG00000132744	chr11:67410000	3.03	2.876001
ACYP1	ENSG00000119640	chr14:75530000	3.42	3.224001
ACYP2	ENSG00000170634	chr2:54190000	2.68	2.560001
ADA	ENSG00000196839	chr20:43280000	97.83	108.622001
ADAL	ENSG00000168803	chr15:43620000	14.69	14.174001
ADAM10	ENSG00000137845	chr15:59040000	32.25	31.978001
ADAM11	ENSG00000073670	Notinthiscell	0.66	0.652001
ADAM12	ENSG00000148848	Notinthiscell	0.04	0.024001
ADAM15	ENSG00000143537	chr1:155020000	7.09	6.690001
ADAM17	ENSG00000151694	chr2:9690000	7.53	7.168001
ADAM19	ENSG00000135074	chr5:157000000	12.02	11.402001
ADAM22	ENSG00000008277	chr7:87560000	6.65	6.278001
ADAM23	ENSG00000114948	chr2:207300000	10.03	9.476001
ADAM28	ENSG00000042980	chr8:24150000	0.36	0.352001
ADAM32	no_id	Notinthiscell	0.0	1e-06
ADAM8	ENSG00000151651	chr10:135090000	35.36	35.426001
ADAM9	no_id	chr8:38850000	0.0	1e-06
ADAMDEC1	ENSG00000134028	chr8:24240000	0.2	0.190001
ADAMTS1	ENSG00000154734	Notinthiscell	0.0	1e-06
ADAMTS10	ENSG00000142303	chr19:8670000	0.0	1e-06
ADAMTS12	no_id	chr5:33890000	0.0	1e-06
ADAMTS13	no_id	chr9:136270000	0.0	1e-06
ADAMTS14	ENSG00000138316	Notinthiscell	0.03	0.014001
ADAMTS17	ENSG00000140470	Notinthiscell	0.18	0.164001
ADAMTS18	ENSG00000140873	Notinthiscell	0.0	1e-06
ADAMTS19	ENSG00000145808	Notinthiscell	0.0	1e-06
ADAMTS2	no_id	Notinthiscell	0.0	1e-06
ADAMTS3	ENSG00000156140	Notinthiscell	0.18	0.164001
ADAMTS4	ENSG00000158859	chr1:161160000	0.26	0.250001
ADAMTS5	ENSG00000154736	Notinthiscell	0.0	1e-06
ADAMTS6	ENSG00000049192	chr5:64770000	4.86	4.520001
ADAMTS7	ENSG00000136378	Notinthiscell	0.4	0.392001
ADAMTS9	ENSG00000163638	Notinthiscell	0.0	1e-06
ADAMTSL1	ENSG00000178031	Notinthiscell	0.05	0.036001
ADAMTSL2	ENSG00000197859	Notinthiscell	0.0	1e-06
ADAMTSL3	ENSG00000156218	Notinthiscell	0.19	0.180001
ADAMTSL4	ENSG00000143382	Notinthiscell	0.08	0.058001
ADAMTSL5	ENSG00000185761	chr19:1510000	0.26	0.250001
ADAP1	ENSG00000105963	chr7:990000	18.46	17.688001
ADAP2	ENSG00000184060	chr17:29240000	3.41	3.216001
ADAR	ENSG00000160710	chr1:154600000	119.27	131.938001
ADARB1	ENSG00000197381	chr21:46490000	1.38	1.348001
ADARB2	ENSG00000185736	chr10:1770000	1.19	1.168001
ADAT1	ENSG00000065457	chr16:75650000	20.25	19.444001
ADAT2	ENSG00000189007	chr6:143770000	10.29	9.680001
ADAT3	ENSG00000213638	chr19:1900000	0.89	0.880001
ADCK1	ENSG00000063761	chr14:78260000	4.5	4.206001
ADCK2	ENSG00000133597	chr7:140370000	8.43	7.952001
ADCK3	no_id	chr1:227120000	0.0	1e-06
ADCK4	no_id	chr19:41220000	0.0	1e-06
ADCK5	ENSG00000173137	chr8:145590000	1.9	1.834001
ADCY1	ENSG00000164742	Notinthiscell	0.7	0.692001
ADCY2	ENSG00000078295	Notinthiscell	0.11	0.088001
ADCY3	ENSG00000138031	chr2:25140000	75.57	82.258001
ADCY4	ENSG00000129467	chr14:24800000	0.58	0.570001
ADCY5	ENSG00000173175	chr3:123160000	0.26	0.250001
ADCY6	ENSG00000174233	chr12:49180000	0.64	0.632001
ADCY7	ENSG00000121281	chr16:50300000	15.39	14.792001
ADCY9	ENSG00000162104	Notinthiscell	0.49	0.488001
ADCYAP1	ENSG00000141433	Notinthiscell	0.0	1e-06
ADD1	ENSG00000087274	chr4:2840000	155.45	168.970001
ADD2	ENSG00000075340	Notinthiscell	0.16	0.136001
ADD3	ENSG00000148700	chr10:111750000	145.23	158.270001
ADGB	ENSG00000118492	Notinthiscell	0.0	1e-06
ADH1B	ENSG00000196616	Notinthiscell	0.0	1e-06
ADH5	ENSG00000197894	chr4:100000000	35.32	35.326001
ADH6	ENSG00000172955	chr4:100140000	0.27	0.262001
ADH7	ENSG00000196344	Notinthiscell	0.0	1e-06
ADHFE1	ENSG00000147576	chr8:67340000	2.54	2.410001
ADI1	no_id	chr2:3520000	0.0	1e-06
ADIPOQ	ENSG00000181092	Notinthiscell	0.0	1e-06
ADIPOR1	ENSG00000159346	chr1:202920000	34.84	34.926001
ADIPOR2	ENSG00000006831	chr12:1800000	26.63	26.016001
ADIRF	ENSG00000148671	Notinthiscell	0.2	0.190001
ADK	ENSG00000156110	chr10:75910000	45.21	46.426001
ADM	ENSG00000148926	chr11:10320000	1.98	1.894001
ADM2	ENSG00000128165	chr22:50920000	0.78	0.772001
ADNP	ENSG00000101126	chr20:49540000	22.58	21.690001
ADNP2	ENSG00000101544	chr18:77860000	4.89	4.554001
ADO	ENSG00000181915	chr10:64560000	4.12	3.890001
ADORA1	ENSG00000163485	chr1:203090000	0.0	1e-06
ADORA2A	ENSG00000128271	chr22:24810000	7.61	7.224001
ADORA2B	ENSG00000170425	chr17:15840000	0.04	0.024001
ADORA3	no_id	Notinthiscell	0.0	1e-06
ADPGK	ENSG00000159322	chr15:73070000	30.68	30.222001
ADPRH	ENSG00000144843	chr3:119290000	12.74	12.084001
ADPRHL1	ENSG00000153531	Notinthiscell	2.12	2.026001
ADPRHL2	ENSG00000116863	chr1:36550000	17.16	16.472001
ADPRM	ENSG00000170222	chr17:10600000	5.39	5.032001
ADRA1B	ENSG00000170214	Notinthiscell	0.0	1e-06
ADRA1D	ENSG00000171873	Notinthiscell	0.08	0.058001
ADRA2A	ENSG00000150594	Notinthiscell	0.0	1e-06
ADRB1	ENSG00000043591	chr10:115800000	0.16	0.136001
ADRB2	ENSG00000169252	chr5:148200000	0.0	1e-06
ADRB3	ENSG00000188778	Notinthiscell	0.0	1e-06
ADRM1	ENSG00000130706	chr20:60870000	82.02	90.458001
ADSL	ENSG00000239900	chr22:40740000	75.43	82.224001
ADSS	ENSG00000035687	chr1:244610000	16.92	16.258001
ADSSL1	ENSG00000185100	chr14:105190000	0.48	0.478001
ADTRP	ENSG00000111863	Notinthiscell	1.38	1.348001
AEBP1	ENSG00000106624	chr7:44140000	0.57	0.560001
AEBP2	ENSG00000139154	chr12:19590000	25.24	24.634001
AEN	ENSG00000181026	chr15:89160000	15.41	14.800001
AES	ENSG00000104964	chr19:3060000	1213.55	1051.148001
AFAP1	ENSG00000196526	Notinthiscell	0.09	0.068001
AFAP1L1	ENSG00000157510	Notinthiscell	0.0	1e-06
AFAP1L2	ENSG00000169129	chr10:116160000	5.05	4.716001
AFF1	ENSG00000172493	chr4:87850000	54.47	56.418001
AFF2	ENSG00000155966	chrX:147580000	0.02	0.010001
AFF3	ENSG00000144218	chr2:100750000	2.92	2.772001
AFF4	ENSG00000072364	chr5:132290000	30.54	30.048001
AFG3L2	ENSG00000141385	chr18:12370000	45.01	46.156001
AFMID	ENSG00000183077	chr17:76180000	27.31	26.604001
AFP	ENSG00000081051	chr4:74300000	0.11	0.088001
AFTPH	ENSG00000119844	chr2:64750000	24.73	24.116001
AGA	ENSG00000038002	chr4:178360000	17.64	16.862001
AGAP1	ENSG00000157985	Notinthiscell	0.3	0.290001
AGAP2	ENSG00000135439	chr12:58130000	7.15	6.752001
AGAP3	ENSG00000133612	chr7:150780000	19.55	18.790001
AGBL2	ENSG00000165923	chr11:47730000	0.44	0.440001
AGBL3	ENSG00000146856	chr7:134670000	2.19	2.100001
AGBL5	ENSG00000084693	chr2:27270000	56.86	59.460001
AGFG1	ENSG00000173744	chr2:228330000	22.67	21.802001
AGFG2	ENSG00000106351	chr7:100130000	9.5	8.972001
AGGF1	ENSG00000164252	chr5:76320000	14.87	14.370001
AGK	no_id	chr7:141250000	0.0	1e-06
AGL	ENSG00000162688	chr1:100310000	6.32	5.960001
AGMAT	ENSG00000116771	chr1:15910000	1.77	1.720001
AGMO	ENSG00000187546	chr7:15600000	0.0	1e-06
AGO1	ENSG00000092847	chr1:36330000	4.55	4.266001
AGO2	ENSG00000123908	chr8:141640000	17.07	16.386001
AGO3	ENSG00000126070	chr1:36390000	7.02	6.640001
AGO4	ENSG00000134698	chr1:36270000	4.36	4.082001
AGPAT1	no_id	chr6:32140000	0.0	1e-06
AGPAT2	ENSG00000169692	chr9:139580000	2.49	2.388001
AGPAT3	ENSG00000160216	chr21:45280000	85.47	94.540001
AGPAT4	ENSG00000026652	chr6:161690000	7.48	7.110001
AGPAT5	ENSG00000155189	chr8:6560000	313.02	347.108001
AGPS	ENSG00000018510	chr2:178250000	9.6	9.096001
AGR2	ENSG00000106541	Notinthiscell	0.0	1e-06
AGRN	ENSG00000188157	chr1:950000	20.66	19.796001
AGT	ENSG00000135744	chr1:230850000	0.0	1e-06
AGTPBP1	ENSG00000135049	chr9:88350000	18.08	17.306001
AGTR2	ENSG00000180772	chrX:115300000	0.03	0.014001
AGTRAP	ENSG00000177674	chr1:11790000	4.51	4.220001
AHCTF1	ENSG00000153207	Notinthiscell	46.44	47.510001
AHCY	ENSG00000101444	chr20:32890000	89.97	100.762001
AHCYL1	ENSG00000168710	chr1:110520000	77.0	84.076001
AHCYL2	ENSG00000158467	chr7:128860000	12.46	11.854001
AHDC1	ENSG00000126705	chr1:27930000	2.44	2.344001
AHI1	ENSG00000135541	chr6:135810000	12.38	11.768001
AHNAK	ENSG00000124942	chr11:62310000	13.38	12.804001
AHNAK2	ENSG00000185567	Notinthiscell	0.09	0.068001
AHR	ENSG00000106546	chr7:17330000	7.07	6.686001
AHSA1	ENSG00000100591	chr14:77920000	112.25	123.432001
AHSA2	no_id	chr2:61400000	0.0	1e-06
AHSP	ENSG00000169877	Notinthiscell	0.53	0.526001
AICDA	ENSG00000111732	chr12:8760000	31.98	31.558001
AIDA	ENSG00000186063	chr1:222880000	13.29	12.690001
AIF1	no_id	chr6:31580000	0.0	1e-06
AIF1L	ENSG00000126878	Notinthiscell	0.09	0.068001
AIFM1	ENSG00000156709	chrX:129290000	63.94	68.002001
AIFM2	ENSG00000042286	chr10:71890000	12.61	11.972001
AIG1	ENSG00000146416	chr6:143380000	11.65	10.968001
AIM1	no_id	chr6:106950000	0.0	1e-06
AIM2	ENSG00000163568	chr1:159040000	11.89	11.238001
AIMP1	ENSG00000164022	chr4:107230000	59.72	62.674001
AIMP2	ENSG00000106305	chr7:6040000	9.56	9.042001
AIP	ENSG00000110711	chr11:67250000	138.53	150.780001
AIRE	ENSG00000160224	AIRE	0.0	1e-06
AJAP1	ENSG00000196581	Notinthiscell	0.0	1e-06
AJUBA	ENSG00000129474	chr14:23450000	0.3	0.290001
AK1	ENSG00000106992	chr9:130640000	5.94	5.572001
AK2	ENSG00000004455	chr1:33500000	101.19	112.224001
AK3	ENSG00000147853	chr9:4740000	14.76	14.276001
AK4	ENSG00000162433	chr1:65610000	95.78	106.750001
AK5	ENSG00000154027	chr1:77740000	0.0	1e-06
AK7	ENSG00000140057	chr14:96850000	0.34	0.328001
AK8	ENSG00000165695	chr9:135750000	0.21	0.202001
AK9	ENSG00000155085	chr6:110010000	3.21	3.024001
AKAP1	ENSG00000121057	chr17:55160000	29.14	28.710001
AKAP10	ENSG00000108599	chr17:19880000	15.8	15.210001
AKAP11	ENSG00000023516	chr13:42840000	11.93	11.302001
AKAP12	ENSG00000131016	Notinthiscell	0.16	0.136001
AKAP13	ENSG00000170776	chr15:85920000	172.47	187.846001
AKAP14	ENSG00000186471	Notinthiscell	0.0	1e-06
AKAP2	ENSG00000241978	chr9:112810000	100.04	110.902001
AKAP3	ENSG00000111254	chr12:4750000	0.73	0.722001
AKAP4	ENSG00000147081	Notinthiscell	0.0	1e-06
AKAP5	ENSG00000179841	chr14:64930000	1.69	1.618001
AKAP6	ENSG00000151320	Notinthiscell	6.91	6.536001
AKAP7	ENSG00000118507	chr6:131450000	1.14	1.122001
AKAP8	ENSG00000105127	chr19:15490000	20.77	19.926001
AKAP8L	ENSG00000011243	chr19:15520000	87.44	98.054001
AKAP9	ENSG00000127914	chr7:91570000	99.94	110.786001
AKIP1	ENSG00000166452	chr11:8930000	21.9	21.002001
AKIRIN1	ENSG00000174574	chr1:39450000	22.12	21.196001
AKIRIN2	ENSG00000135334	chr6:88410000	29.62	29.146001
AKNA	ENSG00000106948	chr9:117150000	29.88	29.364001
AKNAD1	ENSG00000162641	chr1:109400000	0.0	1e-06
AKR1A1	ENSG00000117448	chr1:46010000	114.38	125.996001
AKR1B1	ENSG00000085662	chr7:134140000	56.39	58.860001
AKR1B10	ENSG00000198074	Notinthiscell	0.0	1e-06
AKR1C1	ENSG00000187134	chr10:5000000	0.19	0.180001
AKR1C2	ENSG00000151632	chr10:5060000	0.05	0.036001
AKR1E2	ENSG00000165568	Notinthiscell	0.18	0.164001
AKR7A2	ENSG00000053371	chr1:19630000	22.03	21.126001
AKT1	ENSG00000142208	chr14:105260000	62.0	65.356001
AKT1S1	ENSG00000204673	chr19:50380000	9.12	8.590001
AKT2	ENSG00000105221	chr19:40790000	86.15	95.544001
AKT3	no_id	chr1:244000000	0.0	1e-06
AKTIP	ENSG00000166971	chr16:53530000	8.81	8.294001
ALAD	ENSG00000148218	chr9:116160000	8.25	7.816001
ALAS1	ENSG00000023330	chr3:52230000	44.55	45.616001
ALAS2	ENSG00000158578	Notinthiscell	0.13	0.106001
ALB	ENSG00000163631	chr4:74260000	0.0	1e-06
ALCAM	ENSG00000170017	chr3:105080000	19.78	18.998001
ALDH16A1	ENSG00000161618	chr19:49950000	13.49	12.922001
ALDH18A1	ENSG00000059573	chr10:97410000	128.84	141.632001
ALDH1A1	ENSG00000165092	chr9:75560000	0.11	0.088001
ALDH1A2	ENSG00000128918	Notinthiscell	0.75	0.744001
ALDH1A3	ENSG00000184254	Notinthiscell	0.13	0.106001
ALDH1B1	ENSG00000137124	chr9:38390000	9.41	8.872001
ALDH1L1	ENSG00000144908	chr3:125900000	0.64	0.632001
ALDH1L2	ENSG00000136010	Notinthiscell	11.99	11.372001
ALDH2	ENSG00000111275	chr12:112200000	15.38	14.766001
ALDH3A1	ENSG00000108602	chr17:19650000	0.0	1e-06
ALDH3A2	ENSG00000072210	chr17:19550000	6.27	5.890001
ALDH3B1	ENSG00000006534	Notinthiscell	0.05	0.036001
ALDH3B2	ENSG00000132746	Notinthiscell	0.0	1e-06
ALDH4A1	ENSG00000159423	chr1:19220000	6.76	6.394001
ALDH5A1	ENSG00000112294	chr6:24490000	6.04	5.660001
ALDH6A1	ENSG00000119711	chr14:74550000	7.31	6.920001
ALDH7A1	ENSG00000164904	chr5:125930000	3.27	3.082001
ALDH8A1	ENSG00000118514	Notinthiscell	0.5	0.496001
ALDH9A1	ENSG00000143149	chr1:165660000	26.26	25.562001
ALDOA	ENSG00000149925	chr16:30060000	2136.09	1791.554001
ALDOB	ENSG00000136872	chr9:104190000	0.0	1e-06
ALDOC	ENSG00000109107	chr17:26900000	242.13	269.408001
ALG1	ENSG00000033011	chr16:5120000	9.16	8.622001
ALG10	ENSG00000139133	chr12:34170000	1.96	1.882001
ALG10B	ENSG00000175548	chr12:38710000	1.26	1.238001
ALG11	ENSG00000253710	chr13:52580000	3.24	3.048001
ALG12	ENSG00000182858	chr22:50310000	7.78	7.386001
ALG13	ENSG00000101901	chrX:110920000	39.5	39.570001
ALG14	ENSG00000172339	chr1:95530000	2.0	1.906001
ALG2	ENSG00000119523	chr9:101980000	9.53	9.004001
ALG3	ENSG00000214160	chr3:183960000	14.05	13.560001
